"Parent","Choice","Kind","Handling","Target","CallLabels","WingetIDs","Issue","Command"
"main","R","Label","GUI submenu/CMD label","main","","","",""
"main","C","Label","GUI submenu/CMD label","change_color_theme","","","",""
"main","L","Label","GUI submenu/CMD label","open_log_center","","","",""
"main","G","Label","GUI submenu/CMD label","launch_gui","","","",""
"main","S","Label","GUI submenu/CMD label","menu_search","","","",""
"main","P","Label","GUI submenu/CMD label","problem_master_hub","","","",""
"main","M","Label","GUI submenu/CMD label","missing_mega_vault_launcher","","","",""
"main","T","Label","GUI submenu/CMD label","portable_tools_menu","","","",""
"main","X","Label","GUI submenu/CMD label","exitprog_inline","","","",""
"main","01","Label","GUI submenu/CMD label","menu_system_admin","","","",""
"main","1","Label","GUI submenu/CMD label","menu_system_admin","","","",""
"main","02","Label","GUI submenu/CMD label","menu_network_internet","","","",""
"main","2","Label","GUI submenu/CMD label","menu_network_internet","","","",""
"main","03","Label","GUI submenu/CMD label","menu_windows_repair","","","",""
"main","3","Label","GUI submenu/CMD label","menu_windows_repair","","","",""
"main","04","Label","GUI submenu/CMD label","menu_security_defender","","","",""
"main","4","Label","GUI submenu/CMD label","menu_security_defender","","","",""
"main","05","Label","GUI submenu/CMD label","menu_performance_optimization","","","",""
"main","5","Label","GUI submenu/CMD label","menu_performance_optimization","","","",""
"main","06","Label","GUI submenu/CMD label","menu_storage_disk","","","",""
"main","6","Label","GUI submenu/CMD label","menu_storage_disk","","","",""
"main","07","Label","GUI submenu/CMD label","menu_user_account","","","",""
"main","7","Label","GUI submenu/CMD label","menu_user_account","","","",""
"main","08","Label","GUI submenu/CMD label","menu_backup_restore","","","",""
"main","8","Label","GUI submenu/CMD label","menu_backup_restore","","","",""
"main","09","Label","GUI submenu/CMD label","menu_driver_hardware","","","",""
"main","9","Label","GUI submenu/CMD label","menu_driver_hardware","","","",""
"main","10","Label","GUI submenu/CMD label","menu_update_activation","","","",""
"main","11","Label","GUI submenu/CMD label","menu_office_outlook","","","",""
"main","12","Label","GUI submenu/CMD label","menu_printer_spooler","","","",""
"main","13","Label","GUI submenu/CMD label","menu_remote_rdp","","","",""
"main","14","Label","GUI submenu/CMD label","menu_bios_boot","","","",""
"main","15","Label","GUI submenu/CMD label","menu_registry_policy","","","",""
"main","16","Label","GUI submenu/CMD label","menu_services_features","","","",""
"main","17","Label","GUI submenu/CMD label","menu_live_monitor","","","",""
"main","18","Label","GUI submenu/CMD label","menu_event_logs","","","",""
"main","19","Label","GUI submenu/CMD label","menu_quick_access","","","",""
"main","20","Label","GUI submenu/CMD label","menu_power_user_dev","","","",""
"main","21","Label","GUI submenu/CMD label","menu_ai_auto_fix","","","",""
"main","22","Label","GUI submenu/CMD label","menu_auto_performance","","","",""
"main","23","Label","GUI submenu/CMD label","menu_auto_network","","","",""
"main","24","Label","GUI submenu/CMD label","menu_cloud_remote","","","",""
"main","25","Label","GUI submenu/CMD label","menu_download_deploy","","","",""
"main","26","Label","GUI submenu/CMD label","menu_cyber_security","","","",""
"main","27","Label","GUI submenu/CMD label","menu_mass_installer","","","",""
"main","28","Label","GUI submenu/CMD label","menu_hacker_dashboard","","","",""
"main","29","Label","GUI submenu/CMD label","menu_settings_themes","","","",""
"main","30","Label","GUI submenu/CMD label","menu_about_toolkit","","","",""
"main","31","Label","GUI submenu/CMD label","menu_search","","","",""
"main","32","Label","GUI submenu/CMD label","problem_master_hub","","","",""
"main","33","Label","GUI submenu/CMD label","driver_auto_center","","","",""
"main","34","Label","GUI submenu/CMD label","cmd_vault","","","",""
